t_start_s,dwell_s,center_mhz
29.000,0.100,1000
29.100,0.100,9500
29.200,0.100,3250
29.300,0.100,9500
29.400,0.100,5750
29.500,0.100,9000
29.600,0.100,5500
29.700,0.100,10500
29.800,0.100,3000
29.900,0.100,9500
