t_start_s,dwell_s,center_mhz
0.000,0.100,9500
0.100,0.100,5500
0.200,0.100,3000
0.300,0.100,9500
0.400,0.100,1250
0.500,0.100,9000
0.600,0.100,15500
0.700,0.100,9500
0.800,0.100,3250
0.900,0.100,750
1.000,0.100,9500
1.100,0.100,9000
1.200,0.100,5500
1.300,0.100,9500
1.400,0.100,5250
1.500,0.100,250
1.600,0.100,5750
1.700,0.100,9500
1.800,0.100,9500
1.900,0.100,5500
2.000,0.100,3000
2.100,0.100,9500
2.200,0.100,1750
2.300,0.100,9000
2.400,0.100,9500
2.500,0.100,3250
2.600,0.100,1500
2.700,0.100,5750
2.800,0.100,5500
2.900,0.100,9500
3.000,0.100,1250
3.100,0.100,9000
3.200,0.100,1000
3.300,0.100,9500
3.400,0.100,3000
3.500,0.100,9500
3.600,0.100,3000
3.700,0.100,9500
3.800,0.100,5500
3.900,0.100,3250
4.000,0.100,9500
4.100,0.100,5250
4.200,0.100,5500
4.300,0.100,9500
4.400,0.100,9000
4.500,0.100,5750
4.600,0.100,9500
4.700,0.100,15500
4.800,0.100,9500
4.900,0.100,1250
5.000,0.100,5500
5.100,0.100,9500
5.200,0.100,3250
5.300,0.100,9000
5.400,0.100,3000
5.500,0.100,9500
5.600,0.100,4500
5.700,0.100,9500
5.800,0.100,5500
5.900,0.100,3250
6.000,0.100,9000
6.100,0.100,9500
6.200,0.100,750
6.300,0.100,5250
6.400,0.100,3000
6.500,0.100,1250
6.600,0.100,9500
6.700,0.100,5750
6.800,0.100,5500
6.900,0.100,9000
7.000,0.100,9500
7.100,0.100,9500
7.200,0.100,9500
7.300,0.100,5500
7.400,0.100,3000
7.500,0.100,9500
7.600,0.100,9000
7.700,0.100,1500
7.800,0.100,3250
7.900,0.100,1250
8.000,0.100,9500
8.100,0.100,9500
8.200,0.100,5500
8.300,0.100,3000
8.400,0.100,9500
8.500,0.100,1000
8.600,0.100,5750
8.700,0.100,9500
8.800,0.100,9000
8.900,0.100,3250
9.000,0.100,9500
9.100,0.100,5500
9.200,0.100,9500
9.300,0.100,5250
9.400,0.100,9500
9.500,0.100,1500
9.600,0.100,250
9.700,0.100,5500
9.800,0.100,3000
9.900,0.100,9500
10.000,0.100,9000
10.100,0.100,9500
10.200,0.100,15500
10.300,0.100,3250
10.400,0.100,9000
10.500,0.100,9500
10.600,0.100,5750
10.700,0.100,750
10.800,0.100,5500
10.900,0.100,3000
11.000,0.100,9500
11.100,0.100,1250
11.200,0.100,9500
11.300,0.100,9500
11.400,0.100,5250
11.500,0.100,9500
11.600,0.100,5500
11.700,0.100,9000
11.800,0.100,3250
11.900,0.100,1250
12.000,0.100,9500
12.100,0.100,4000
12.200,0.100,9500
12.300,0.100,3000
12.400,0.100,5500
12.500,0.100,9000
12.600,0.100,9500
12.700,0.100,9500
12.800,0.100,1750
12.900,0.100,5750
13.000,0.100,3000
13.100,0.100,15500
13.200,0.100,5500
13.300,0.100,9500
13.400,0.100,9000
13.500,0.100,9500
13.600,0.100,1250
13.700,0.100,9500
13.800,0.100,3250
13.900,0.100,750
14.000,0.100,5500
14.100,0.100,9500
14.200,0.100,9500
14.300,0.100,3000
14.400,0.100,3250
14.500,0.100,9000
14.600,0.100,5500
14.700,0.100,9500
14.800,0.100,9500
14.900,0.100,5250
15.000,0.100,5500
15.100,0.100,9500
15.200,0.100,9000
15.300,0.100,1000
15.400,0.100,1500
15.500,0.100,3000
15.600,0.100,5750
15.700,0.100,9500
15.800,0.100,9500
15.900,0.100,5500
16.000,0.100,9500
16.100,0.100,4500
16.200,0.100,3250
16.300,0.100,9000
16.400,0.100,1250
16.500,0.100,5750
16.600,0.100,9500
16.700,0.100,9500
16.800,0.100,3000
16.900,0.100,5500
17.000,0.100,9500
17.100,0.100,15500
17.200,0.100,9500
17.300,0.100,9000
17.400,0.100,5500
17.500,0.100,3000
17.600,0.100,9500
17.700,0.100,5250
17.800,0.100,3250
17.900,0.100,1250
18.000,0.100,9500
18.100,0.100,9500
18.200,0.100,9000
18.300,0.100,9500
18.400,0.100,5500
18.500,0.100,1500
18.600,0.100,3000
18.700,0.100,9500
18.800,0.100,5750
18.900,0.100,5500
19.000,0.100,9500
19.100,0.100,9500
19.200,0.100,9000
19.300,0.100,1750
19.400,0.100,3250
19.500,0.100,1250
19.600,0.100,9500
19.700,0.100,9500
19.800,0.100,750
19.900,0.100,9000
20.000,0.100,5500
20.100,0.100,250
20.200,0.100,3000
20.300,0.100,9500
20.400,0.100,9500
20.500,0.100,9000
20.600,0.100,9500
20.700,0.100,5500
20.800,0.100,5250
20.900,0.100,3250
21.000,0.100,9500
21.100,0.100,5750
21.200,0.100,15500
21.300,0.100,9500
21.400,0.100,5500
21.500,0.100,3000
21.600,0.100,2750
21.700,0.100,9500
21.800,0.100,1250
21.900,0.100,9000
22.000,0.100,1000
22.100,0.100,9500
22.200,0.100,3250
22.300,0.100,750
22.400,0.100,5500
22.500,0.100,9500
22.600,0.100,3000
22.700,0.100,9500
22.800,0.100,1250
22.900,0.100,5250
23.000,0.100,9500
23.100,0.100,9000
23.200,0.100,5500
23.300,0.100,3250
23.400,0.100,9500
23.500,0.100,5750
23.600,0.100,9500
23.700,0.100,9000
23.800,0.100,9500
23.900,0.100,3000
24.000,0.100,5500
24.100,0.100,9500
24.200,0.100,1500
24.300,0.100,9500
24.400,0.100,3000
24.500,0.100,5500
24.600,0.100,15500
24.700,0.100,9500
24.800,0.100,5250
24.900,0.100,3250
25.000,0.100,9500
25.100,0.100,9000
25.200,0.100,9500
25.300,0.100,9000
25.400,0.100,5500
